H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,,,,,,,,,,,,
582.65,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1932373,,,,,,,,,,,,
582.65,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.65,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002018515,0.019306155,-0.12628752,0.000377579,-0.001984645,-0.000880677,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.051,-0.01,-0.997,2.058,27.92,-3.54,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.051,-0.01,-0.997,2.191,27.97,-3.55,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.051,-0.01,-0.997,2.191,27.97,-3.55,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.051,-0.01,-0.997,2.191,27.97,-3.55,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.051,-0.01,-0.997,2.191,27.97,-3.55,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.051,-0.01,-0.997,2.191,27.97,-3.55,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.537931383,1500,1689,1500,27.11700058,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.051,-0.01,-0.997,2.191,27.97,-3.55,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.530731261,1500,1689,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.051,-0.01,-0.997,2.191,27.97,-3.55,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.051,-0.01,-0.997,2.191,27.97,-3.55,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.051,-0.01,-0.997,2.191,27.97,-3.55,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1719971,,,,,,,,,,,,
582.76,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.76,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.002081763,0.018992521,-0.126481399,0.000373162,-0.001416198,-0.000911409,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.046,-0.001,-0.996,2.191,27.97,-3.55,-0.53,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.046,-0.001,-0.996,2.333,28.01,-3.57,-0.52,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.046,-0.001,-0.996,2.333,28.01,-3.57,-0.52,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.046,-0.001,-0.996,2.333,28.01,-3.57,-0.52,945.1470337,,,,,,,,,,,,
