H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012754893396049738,0.001061414135619998,-0.12090922892093658,0.0003650466096587479,0.00016547477571293712,0.0004201522679068148,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.007,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.04833984375
584.09,-0.00025864451890811324,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.04833984375
584.09,0.0011747414246201515,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.04833984375
584.09,0.0011747414246201515,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.04833984375
584.09,0.0011747414246201515,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.04833984375
584.09,0.0011747414246201515,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.04833984375
584.09,0.0011747414246201515,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.04833984375
584.09,0.0011747414246201515,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.04833984375
584.09,0.0011747414246201515,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.0084228515625
584.09,0.0011747414246201515,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.0084228515625
584.09,0.0011747414246201515,1496,1900,1498,0.022061703726649284,0.0012786254519596696,0.0010635914513841271,-0.12087515741586685,0.00034276756923645735,0.0002767081605270505,0.00045594980474561453,0.0,0.0,-1.001,0.01,-0.01,0.02,0.0,945.0084228515625
