H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,,,,,,,,,,,,
581.31,0.155611515,1500,1500,1500,6.200824261,0.001101406,0.000568937,-0.121454522,0.00030473,0.00017022,0.000303062,0,0.001,-1.002,0.275,6.77,-0.82,-0.15,945.3421021,,,,,,,,,,,,
581.31,0.155611515,1500,1500,1500,6.200824261,0.001101406,0.000568937,-0.121454522,0.00030473,0.00017022,0.000303062,0,0.001,-1.002,0.275,6.77,-0.82,-0.15,945.3421021,,,,,,,,,,,,
581.31,0.155611515,1500,1500,1500,6.200824261,0.001101406,0.000568937,-0.121454522,0.00030473,0.00017022,0.000303062,0,0.001,-1.002,0.275,6.77,-0.82,-0.15,945.3421021,,,,,,,,,,,,
581.31,0.155611515,1500,1500,1500,6.200824261,0.001101406,0.000568937,-0.121454522,0.00030473,0.00017022,0.000303062,0,0.001,-1.002,0.275,6.77,-0.82,-0.15,945.3421021,,,,,,,,,,,,
581.31,0.155611515,1500,1500,1500,6.200824261,0.001101406,0.000568937,-0.121454522,0.00030473,0.00017022,0.000303062,0,0.001,-1.002,0.275,6.77,-0.82,-0.15,945.3421021,,,,,,,,,,,,
581.31,0.155611515,1500,1500,1500,6.200824261,0.001101406,0.000568937,-0.121454522,0.00030473,0.00017022,0.000303062,0,0.001,-1.002,0.275,6.77,-0.82,-0.15,945.3421021,,,,,,,,,,,,
581.31,0.155611515,1500,1500,1500,6.200824261,0.001101406,0.000568937,-0.121454522,0.00030473,0.00017022,0.000303062,0,0.001,-1.002,0.275,6.77,-0.82,-0.15,945.3421021,,,,,,,,,,,,
581.31,0.155611515,1500,1500,1500,6.200824261,0.001101406,0.000568937,-0.121454522,0.00030473,0.00017022,0.000303062,0,0.001,-1.002,0.275,6.77,-0.82,-0.15,945.3421021,,,,,,,,,,,,
581.31,0.155611515,1500,1500,1500,6.200824261,0.001101406,0.000568937,-0.121454522,0.00030473,0.00017022,0.000303062,0,0.001,-1.002,0.275,6.77,-0.82,-0.15,945.3421021,,,,,,,,,,,,
581.31,0.155611515,1500,1500,1500,6.200824261,0.001101406,0.000568937,-0.121454522,0.00030473,0.00017022,0.000303062,0,0.001,-1.002,0.275,6.77,-0.82,-0.15,945.3421021,,,,,,,,,,,,
