H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro
580.92,0.244145182,1496.044069,1908.25563,1495.779806,5.991472577,0.001821147,0.018118772,-0.06928481,0.019075273,-7.82E-06,-0.002019372,0.018176014,0.001990641,-1.021468046,0.12027651,6.679836834,-0.684219522,0.05009509,945.1606609
580.92,-0.186352362,1492.626659,1903.638284,1495.599523,6.455458272,-0.016247598,0.007658446,-0.125042311,0.017331805,-0.003378427,-0.001571499,0.015739957,-0.000827459,-0.990110621,-0.088121318,6.437170183,-0.998673288,0.352102495,945.7156375
580.92,-0.118785653,1491.59625,1905.393327,1496.913768,6.424853457,0.005384461,0.013539822,-0.085827071,0.035022445,0.002316668,-0.004464709,0.014435819,-0.001620292,-0.997900428,0.528484071,7.253136687,-0.081584646,0.120641681,945.4135626
580.92,-0.125304826,1490.643189,1896.96026,1498.049419,6.736660779,-0.022144294,0.019482781,-0.031942916,0.028892096,-0.000810502,0.005602267,0.018680834,-0.003554057,-1.007366623,1.180634744,6.148835928,-1.469357867,-0.052521951,945.3899415
580.92,-0.041018923,1489.367588,1899.834877,1497.691292,6.273378653,-0.003148665,0.017194139,-0.220597654,-0.006597283,-0.007346652,0.002807877,0.023196868,-0.003060564,-1.024712914,1.769860497,6.660751993,-0.950141889,0.779956116,945.0719896
580.92,0.045979996,1487.384034,1902.433814,1497.822213,6.454278443,-0.002225495,0.009522687,-0.179631185,0.025224261,-0.002439722,0.01128602,0.014579937,0.000192423,-1.015141773,1.264542545,7.162010322,-0.156952285,0.229569339,945.530772
580.92,0.049028521,1490.3686,1894.409353,1497.40213,6.805006826,-0.024037048,0.014875443,-0.27785306,0.012184812,0.000266106,0.003985782,0.027755037,-0.001481612,-0.98886423,-0.819289738,7.160865787,-0.478788982,0.26625695,945.1329275
580.92,-0.265882702,1490.739807,1903.200437,1498.329196,6.126304323,-0.000807918,0.026178313,-0.177121775,-0.00656874,0.00175121,0.001053322,0.027612834,-0.000932391,-0.968696135,-0.35885824,7.223156074,-0.584703685,0.142390596,945.2784458
580.92,-0.141247896,1496.06016,1902.629525,1496.924463,6.09203588,0.050993638,0.026211557,-0.16357806,-0.005999807,0.000525645,0.003843996,0.021104254,0.003334188,-0.987691556,-0.600512947,7.237778673,-0.317418224,0.249609214,945.5933959
580.92,0.382474632,1493.652013,1904.850879,1496.765612,6.70459547,0.01229031,0.030483494,-0.162338929,-0.019316391,-0.003044961,-0.005280454,0.01739136,-0.00110971,-1.008280697,-0.991704807,5.698771466,-0.936687651,0.170094524,945.1328247
580.9,-0.467732732,1491.632392,1901.908962,1498.191821,6.259380239,-0.028690653,0.021470351,-0.156235402,0.028348121,0.002858313,0.006580285,0.028203805,0.001750432,-1.007686643,0.883129236,7.192296378,-0.504486491,0.137761216,945.2605523
580.9,-0.081053704,1494.516262,1899.315115,1496.855054,6.193466884,-0.042924245,0.010212084,-0.229342817,-0.027371312,0.004233012,-0.003245752,0.00909601,-0.000686773,-0.994131134,-1.991547526,6.743128853,-0.975441914,0.14932074,945.1597922
580.9,0.344666829,1493.700616,1899.29929,1496.561272,6.615321522,0.040962521,0.025327899,-0.128195463,-0.0079465,-0.004990426,0.006155701,0.021136407,-0.001875124,-0.997365474,-1.154317871,7.48955175,-1.064228541,0.010440692,945.3356833
580.9,-0.138727667,1491.984938,1902.86817,1496.269431,6.365892781,0.026870518,0.025052005,-0.060648167,0.018588105,0.00800913,-0.004861235,-0.001055579,-0.001829283,-1.01192583,-1.366261635,6.655784895,-1.080045082,-0.152274526,945.3252222
